id,n,capacity,distribution,seed,ffd_time_s,dp_time_s,ffd_bins,dp_bins,ratio_ffd_over_opt
n05-uniforme-s1,5,20,uniforme,1,9.170034900307655e-07,1.1582975275814533e-05,3,3,1.0
n05-uniforme-s2,5,20,uniforme,2,7.919734343886375e-07,1.1416967026889324e-05,2,2,1.0
n05-uniforme-s3,5,20,uniforme,3,9.580980986356735e-07,1.0874937288463116e-05,4,4,1.0
n05-grandes-s1,5,20,grandes,1,9.579816833138466e-07,1.0666903108358383e-05,5,5,1.0
n05-grandes-s2,5,20,grandes,2,9.170034900307655e-07,1.0499963536858559e-05,5,5,1.0
n05-grandes-s3,5,20,grandes,3,9.579816833138466e-07,1.0416959412395954e-05,5,5,1.0
n05-pequenos-s1,5,20,pequenos,1,7.919734343886375e-07,1.12500274553895e-05,1,1,1.0
n05-pequenos-s2,5,20,pequenos,2,7.910421118140221e-07,1.1041993275284767e-05,1,1,1.0
n05-pequenos-s3,5,20,pequenos,3,7.910421118140221e-07,1.1165975593030453e-05,1,1,1.0
n08-uniforme-s1,8,20,uniforme,1,1.4579854905605316e-06,0.00020333309657871723,5,5,1.0
n08-uniforme-s2,8,20,uniforme,2,1.4159595593810081e-06,0.0002055000513792038,4,4,1.0
n08-uniforme-s3,8,20,uniforme,3,1.8749851733446121e-06,0.0001723339082673192,7,7,1.0
n08-grandes-s1,8,20,grandes,1,1.584063284099102e-06,0.00016883306670933962,8,8,1.0
n08-grandes-s2,8,20,grandes,2,1.5828991308808327e-06,0.00016795797273516655,8,8,1.0
n08-grandes-s3,8,20,grandes,3,1.6249250620603561e-06,0.0001650000922381878,8,8,1.0
n08-pequenos-s1,8,20,pequenos,1,1.166015863418579e-06,0.0002604159526526928,2,2,1.0
n08-pequenos-s2,8,20,pequenos,2,1.1249212548136711e-06,0.0002572920639067888,1,1,1.0
n08-pequenos-s3,8,20,pequenos,3,1.3330718502402306e-06,0.00025991699658334255,2,2,1.0
n10-uniforme-s1,10,20,uniforme,1,1.834006980061531e-06,0.0017559590050950646,6,6,1.0
n10-uniforme-s2,10,20,uniforme,2,2.00001522898674e-06,0.0018098329892382026,5,5,1.0
n10-uniforme-s3,10,20,uniforme,3,2.2079329937696457e-06,0.001555625000037253,8,8,1.0
n10-grandes-s1,10,20,grandes,1,2.2080494090914726e-06,0.0015892499359324574,10,10,1.0
n10-grandes-s2,10,20,grandes,2,2.166023477911949e-06,0.0015613749856129289,10,10,1.0
n10-grandes-s3,10,20,grandes,3,2.2079329937696457e-06,0.0015490829246118665,10,10,1.0
n10-pequenos-s1,10,20,pequenos,1,1.625041477382183e-06,0.002716750022955239,2,2,1.0
n10-pequenos-s2,10,20,pequenos,2,1.4579854905605316e-06,0.002711209002882242,2,2,1.0
n10-pequenos-s3,10,20,pequenos,3,1.4579854905605316e-06,0.002693957998417318,2,2,1.0
n12-uniforme-s1,12,20,uniforme,1,2.3329630494117737e-06,0.014896958018653095,7,7,1.0
n12-uniforme-s2,12,20,uniforme,2,2.499902620911598e-06,0.0152990419883281,6,6,1.0
n12-uniforme-s3,12,20,uniforme,3,2.583954483270645e-06,0.01401375001296401,9,9,1.0
n12-grandes-s1,12,20,grandes,1,3.1249364838004112e-06,0.01316795905586332,12,12,1.0
n12-grandes-s2,12,20,grandes,2,2.9159709811210632e-06,0.013055499992333353,11,11,1.0
n12-grandes-s3,12,20,grandes,3,2.9159709811210632e-06,0.01294666703324765,12,12,1.0
n12-pequenos-s1,12,20,pequenos,1,1.7080456018447876e-06,0.024637792026624084,2,2,1.0
n12-pequenos-s2,12,20,pequenos,2,1.7499551177024841e-06,0.02458924998063594,2,2,1.0
n12-pequenos-s3,12,20,pequenos,3,1.7499551177024841e-06,0.02414624998345971,3,3,1.0
n14-uniforme-s1,14,20,uniforme,1,2.7079368010163307e-06,0.12814066698774695,8,8,1.0
n14-uniforme-s2,14,20,uniforme,2,3.0830269679427147e-06,0.12963483401108533,7,7,1.0
n14-uniforme-s3,14,20,uniforme,3,3.3329706639051437e-06,0.12163474992848933,10,10,1.0
n14-grandes-s1,14,20,grandes,1,3.999914042651653e-06,0.11560699995607138,14,14,1.0
n14-grandes-s2,14,20,grandes,2,3.7499703466892242e-06,0.11535095900762826,13,13,1.0
n14-grandes-s3,14,20,grandes,3,3.6249402910470963e-06,0.11662762507330626,14,14,1.0
n14-pequenos-s1,14,20,pequenos,1,2.00001522898674e-06,0.22404829203151166,2,2,1.0
n14-pequenos-s2,14,20,pequenos,2,2.00001522898674e-06,0.22291791602037847,2,2,1.0
n14-pequenos-s3,14,20,pequenos,3,2.124928869307041e-06,0.2076859170338139,3,3,1.0
n16-uniforme-s1,16,20,uniforme,1,3.459048457443714e-06,1.0963528329739347,10,10,1.0
n16-uniforme-s2,16,20,uniforme,2,3.6669662222266197e-06,1.1012967909919098,9,9,1.0
n16-uniforme-s3,16,20,uniforme,3,4.499917849898338e-06,1.0836751249153167,11,11,1.0
n16-grandes-s1,16,20,grandes,1,4.999921657145023e-06,1.0489529999904335,16,16,1.0
n16-grandes-s2,16,20,grandes,2,4.875008016824722e-06,1.0603442080318928,15,15,1.0
n16-grandes-s3,16,20,grandes,3,5.166977643966675e-06,1.0471469589974731,16,16,1.0
n16-pequenos-s1,16,20,pequenos,1,2.749962732195854e-06,1.9152004580246285,3,3,1.0
n16-pequenos-s2,16,20,pequenos,2,2.374988980591297e-06,1.8973837919766083,3,3,1.0
n16-pequenos-s3,16,20,pequenos,3,2.458924427628517e-06,1.851462332997471,3,3,1.0
n18-uniforme-s1,18,20,uniforme,1,3.958004526793957e-06,9.848290583002381,11,11,1.0
n18-uniforme-s2,18,20,uniforme,2,4.249974153935909e-06,9.781431333976798,10,10,1.0
n18-uniforme-s3,18,20,uniforme,3,5.207955837249756e-06,9.688546874909662,13,13,1.0
n18-grandes-s1,18,20,grandes,1,6.042071618139744e-06,9.608788209035993,17,17,1.0
n18-grandes-s2,18,20,grandes,2,6.00004568696022e-06,9.600949166924693,17,17,1.0
n18-grandes-s3,18,20,grandes,3,5.582929588854313e-06,9.61045500007458,18,18,1.0
n18-pequenos-s1,18,20,pequenos,1,2.791057340800762e-06,17.06595225003548,3,3,1.0
n18-pequenos-s2,18,20,pequenos,2,3.1659146770834923e-06,16.414714458049275,3,3,1.0
n18-pequenos-s3,18,20,pequenos,3,2.7909409254789352e-06,15.636587292072363,4,4,1.0
n20-uniforme-s1,20,20,uniforme,1,5.249981768429279e-06,88.70806387497578,12,12,1.0
n20-uniforme-s2,20,20,uniforme,2,5.00003807246685e-06,88.17768308299128,12,12,1.0
n20-uniforme-s3,20,20,uniforme,3,5.709007382392883e-06,87.47295349999331,15,15,1.0
n20-grandes-s1,20,20,grandes,1,6.500049494206905e-06,86.83416391699575,19,19,1.0
n20-grandes-s2,20,20,grandes,2,6.541959010064602e-06,87.07267233298626,19,19,1.0
n20-grandes-s3,20,20,grandes,3,6.624963134527206e-06,87.01096166693605,20,20,1.0
n20-pequenos-s1,20,20,pequenos,1,3.125052899122238e-06,147.5863283330109,3,3,1.0
n20-pequenos-s2,20,20,pequenos,2,3.708992153406143e-06,134.26190604199655,4,4,1.0
n20-pequenos-s3,20,20,pequenos,3,3.2921088859438896e-06,127.34835279197432,4,4,1.0
n10-adversarial-1,10,10,adversarial,0,1.915963366627693e-06,0.00218791700899601,5,4,1.25
n12-adversarial-2,12,10,adversarial,0,2.4168984964489937e-06,0.017373832990415394,6,5,1.2
n14-adversarial-3,14,10,adversarial,0,2.7909409254789352e-06,0.1536760829621926,6,5,1.2
